key	value
view_header	مشاهدة
view_calendar	تقويم
view_map	خريطة
view_ui	UI
view_simulation	محاكاة
view_person	شخص
view_territory	الإقليم
view_flow_curve	منحنى التدفق
view_license	رخصة
view_debug	Debug
view_3d	ثلاثي الأبعاد
place_names_header	اسم مكان
ancient_text	نص قديم
administrative	إداري
indigenous	السكان الأصليين
historical_state	دولة تاريخية
general	عام
item	شيء
kamekanbo	الدفن في الجرار
stone_coffin	ناووس
doken	سيف برونزي
dotaku	Dotaku
coin	عملة
structure	هيكل
site	موقع أثري
tomb	قبر
dolmen	دلمن
genomes_header	الجينومات
human_bone	عظم بشري
mtdna	الحمض النووي للميتوكوندريا
ydna	الحمض النووي Y
map_header	خريطة
map_base	قاعدة
map_land_and_sea	الأرض والبحر
map_land_and_water	الأرض والمياه
map_soil	تربة
map_soil_temperature	درجة حرارة التربة
map_ryosei_country	دولة Ryosei
map_ryosei_line	خط Ryosei
map_slope	ميل
map_lakes_and_rivers1	البحيرات والأنهار 1
map_lakes_and_rivers2	البحيرات والأنهار 2
map_line1	خط 1
map_line2	خط 2
