key	value
YaxEhbXook	야슈 에브 쇼크
AnimalHeaddress	동물의 머리 장식
FoliatedJaguar	나뭇잎 재규어
AtlatlCauac	아틀라틀 카우악
ChakTokIchaakI	착 톡 이착 1세
KinichMuwaanJol	키니치 무완 홀
SihyajChanKawiilI	시야흐 찬 카윌 1세
SiyajKak	시야흐 칵
TeKabChaak	테 카브 착
UnenBahlam	우넨 발람
Casper	캐스퍼
ChakTokIchaakII	착 톡 이착 2세
KahkUjolKinichI	칵 우 홀 키니치 1세
KanAhkI	칸 아크 1세
KanAhkII	칸 아크 2세
KanChitam	칸 치탐
KinichPopolHol	키니치 포폴 홀
KinichYaxKukMo	키니치 야슈 쿠크 모
KuIx	쿠 이슈
KukBahlamI	쿠크 발람 1세
MuyalJol	무얄 홀
Ruler3	통치자 3
Ruler5	통치자 5
RulerX	통치자 X
SihyajChanKawiilII	시야흐 찬 카윌 2세
TokCasper	톡 캐스퍼
TutuumYohlKinich	투툼 요올 키니치
YajawTeKinichI	야하우 테 키니치 1세
YaxNuunAhiinI	야슈 눈 아힌 1세
AnimalSkull	동물의 두개골
BalamNehn	발람 넨
BirdClaw	새의 발톱
ButzAjSakChiik	부츠 아흐 삭 치크
KaloomteBahlam	칼롬테 발람
KanBahlamI	칸 발람 1세
KanJoyChitamI	칸 호이 치탐 1세
ScrollSerpent	소용돌이 뱀
Sak-Lu	삭 루
PiedrasNegrasRulerC	피에드라스 네그라스의 통치자 C
AhkalMoNahbII	아칼 모 나브 2세
AhkalMoNahbI	아칼 모 나브 1세
LadyofTikal	티칼의 귀부인
KanI	칸 1세
KakChanYopaat	칵 찬 요파트
KnotAjaw	매듭 아하우
Tzi-Balam	치 발람
TuunKabHix	툰 카브 히슈
SkyWitness	하늘의 증인
YajawTeKinichII	야하우 테 키니치 2세
WilOhlKinich	윌 올 키니치
WakChanKawiil	왁 찬 카윌
YuknoomCheenI	유크놈 첸 1세
YohlIknal	요올 이크날
YaxYopaat	야슈 요파트
KinichKanBahlamII	키니치 칸 발람 2세
BalajChanKawiil	발라흐 찬 카윌
ChanImixKawiil	찬 이미시 카윌
ItzamKanAhkI	이참 칸 아크 1세
JasawChanKawiilI	하사우 찬 카윌 1세
KinichYonalAhkI	키니치 요날 아크 1세
KinichJanaabPakalI	키니치 하나브 파칼 1세
Adomnan	아담난
AebbeofColdingham	콜딩엄의 애버
MolaiseofLeighlin	리린의 몰레시
BrideisonofBeli	벨리의 아들 브리데이
LlywarchHen	리와르흐 헨
AthrwysapMeurig	아스루이스 압 메우리그
Oudoceus	오우도케우스
IagoapBeli	이아고 압 벨리
AlainIIHir	알랭 2세 이르
SaintJudicael	성 유디카엘
SaintGobrain	성 고브랭
SaintJudoc	성 유독
SaintMalo	성 말로
Mewan	메완
SaintOnenne	성 오넨
BrunhildaofAustrasia	아우스트라시아의 브룬힐다
IreneofTomar	토마르의 이레네
JohnofBiclaro	비클라로의 요한
ValerioofBierzo	비에르소의 발레리오
Wittiza	위티자
Chindasuinth	킨다스빈트
Chintila	킨틸라
Egica	에기카
Erwig	에르위그
LiuvaII	리우바 2세
ReccaredI	레카레드 1세
Sisebut	시세부트
Sisenand	시세난드
Suintila	수인틸라
Wamba	왐바
Witteric	위테릭
Kubrat	쿠브라트
RadbodofFrisia	프리시아의 라드보드
StephenofKakheti	카헤티의 스테파노스
AelfwineofDeira	데이라의 엘프위네
AethelberhtofKent	켄트의 에셀베르트
AethelredofMercia	머시아의 에셀레드
Alhfrith	알흐프리스
PetrocBaladrddellt	페트록 발라드르델트
ClemenapBledric	클레멘 압 블레드릭
Caedwalla	캐드왈라
EanfrithofBernicia	버니시아의 에안프리스
EcgfrithofNorthumbria	노섬브리아의 에그프리스
EdwinofNorthumbria	노섬브리아의 에드윈
OethelwaldofDeira	데이라의 오이젤왈드
OswaldofNorthumbria	노섬브리아의 오스왈드
Oswiu	오스위
PendaofMercia	머시아의 펜다
SaebbiofEssex	에식스의 세비
WihtredofKent	켄트의 위히트레드
WulfhereofMercia	머시아의 울프헤레
FujiwaranoFuhito	Fujiwara no Fuhito
HikaminoShioyaki	Hikami no Shioyaki
HozuminoOyu	Hozumi no Oyu
KudaranoKonikishiEnpo	Kudara no Konikishi Enpo
KudaranoKonikishiGanchu	Kudara no Konikishi Ganchu
KudaranoKonikishiJikyo	Kudara no Konikishi Jikyo
KudaranoKonikishiKochu	Kudara no Konikishi Kochu
KudaranoKonikishiKyofuku	Kudara no Konikishi Kyofuku
KudaranoKonikishiNanten	Kudara no Konikishi Nanten
KudaranoKonikishiNinjo	Kudara no Konikishi Ninjo
KudaranoKonikishiRihaku	Kudara no Konikishi Rihaku
KudaranoKonikishiRizen	Kudara no Konikishi Rizen
KudaranoKonikishiShuntetsu	Kudara no Konikishi Shuntetsu
KudaranoKonikishiZenpuku	Kudara no Konikishi Zenpuku
MiwanoTakechimaro	Miwa no Takechimaro
SaekinoImaemishi	Saeki no Imaemishi
SaekinoMatanari	Saeki no Matanari
SakanouenoInukai	Sakanoue no Inukai
SakanouenoKaritamaro	Sakanoue no Karitamaro
YugenoKiyohito	Yuge no Kiyohito
HekinoKiyotari	Heki no Kiyotari
HekinoMichikata	Heki no Michikata
HekinoMinomaro	Heki no Minomaro
HekinoOminari	Heki no Ominari
HekinoSademaro	Heki no Sademaro
HikaminoKawatsugu	Hikami no Kawatsugu
HikaminoShikeshimaro	Hikami no Shikeshimaro
MinonoIshimori	Mino no Ishimori
MinonoNamiuo	Mino no Namiuo
MinonoObayashi	Mino no Obayashi
MinonoOtomasu	Mino no Otomasu
MinonoSonoki	Mino no Sonoki
MinonoUmakai	Mino no Umakai
HiketanoMushimaro	Hiketa no Mushimaro
MoronoKurao	Moro no Kurao
OnonoTamori	Ono no Tamori
OtomonoInukai	Otomo no Inukai
Sakanoue_no_Tamuramaro	Sakanoue no Tamuramaro
Kibi_no_Makibi	Kibi no Makibi
Abe_no_Hirafu	Abe no Hirafu
Otomo_no_Tabito	Otomo no Tabito
Kim_In-mun	Kim In-mun
Isabu	Isabu
Abe_no_Tsugumaro	Abe no Tsugumaro
Otomo_no_Kunimaro	Otomo no Kunimaro
Michimori_no_Maro	Michimori no Maro
Shimotsuke_no_Komaro	Shimotsuke no Komaro
Choe_Chi-won	Choe Chi-won
DuHuan	Du Huan
WangWei	Wang Wei
WuZetian	Wu Zetian
Charlemagne	Charlemagne
Alcuin	Alcuin
AnanbenDavid	Anan ben David
Huang_Shaoqing	Huang Shaoqing
Haribhadra	Haribhadra
Dugu_Qieluo	Dugu Qieluo
PerozIII	Peroz III
Valentinus	Valentinus
Tiberius(sonofMaurice)	Tiberius (son of Maurice)
TheodoreofTarsus	Theodore of Tarsus
SuhaybibnSinan	Suhayb ibn Sinan
TheodoreRshtuni	Theodore Rshtuni
Nicetas(cousinofHeraclius)	Nicetas (cousin of Heraclius)
Mauros	Mauros
GregorythePatrician	Gregory the Patrician
David(sonofHeraclius)	David (son of Heraclius)
Heraclius	Heraclius
Khalidibnal-Walid	Khalid ibn al-Walid
AbdAllahibnal-Zubayr	Abd Allah ibn al-Zubayr
Abdal-RahmanibnAbiBakr	Abd al-Rahman ibn Abi Bakr
Adaloald	Adaloald
Agilulf	Agilulf
Grimoald	Grimoald
Rodoald	Rodoald
Rothari	Rothari
Theodelinda	Theodelinda
Ansprand	Ansprand
GisulfIIofFriuli	Gisulf II of Friuli
Gundeberga	Gundeberga
SigebertIII	Sigebert III
AsparuhofBulgaria	Asparuh of Bulgaria
KhosrowII	Khosrow II
PopeAdrianI	Pope Adrian I
SaintBaudolino	Saint Baudolino
Dokyo	Dokyo
Gaubald	Gaubald
KimDaeseong	Kim Daeseong
PopePaulI	Pope Paul I
ShitouXiqian	Shitou Xiqian
WangJin	Wang Jin
WasilibnAta	Wasil ibn Ata
EmpressKomyo	Empress Komyo
