key	value
view_header	Перегляд
view_calendar	Календар
view_map	Карта
view_ui	UI
view_simulation	Симуляція
view_person	Особа
view_license	Ліцензія
view_debug	Налагодження
view_3d	3D
place_names_header	Топоніми
ancient_text	Давній текст
administrative	Адміністративний
indigenous	Корінний
historical_state	Історична держава
general	Загальний
item	Артефакт
kamekanbo	Глекові поховання
stone_coffin	Кам'яний саркофаг
doken	Бронзовий меч
dotaku	Дотаку
coin	Монета
structure	Структура
site	Пам'ятка археології
tomb	Могила
dolmen	Дольмен
genomes_header	Геноми
human_bone	Людська кістка
mtdna	мтДНК
ydna	Y-ДНК
map_header	Карта
map_base	База
map_land_and_sea	Суша і море
map_land_and_water	Суша і вода
map_soil	Ґрунт
map_soil_temperature	Температура ґрунту
map_ryosei_country	Країна Рьосей
map_ryosei_line	Лінія Рьосей
map_slope	Схил
map_lakes_and_rivers1	Озера та річки1
map_lakes_and_rivers2	Озера та річки2
map_line1	Лінія1
map_line2	Лінія2
